2021-04-17 17:05:13,736 {'id': '2', 'type': 1, 'count': 0, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:14,503 {'id': '2', 'type': 1, 'count': 1, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:15,248 {'id': '2', 'type': 1, 'count': 2, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:15,982 {'id': '2', 'type': 1, 'count': 3, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:16,726 {'id': '2', 'type': 1, 'count': 4, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:17,503 {'id': '2', 'type': 1, 'count': 5, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:18,232 {'id': '2', 'type': 1, 'count': 6, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:19,003 {'id': '2', 'type': 1, 'count': 7, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:20,747 {'id': '2', 'type': 1, 'count': 8, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:22,495 {'id': '2', 'type': 1, 'count': 9, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:23,258 {'id': '2', 'type': 1, 'count': 10, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:24,008 {'id': '2', 'type': 1, 'count': 11, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:24,756 {'id': '2', 'type': 1, 'count': 12, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:25,507 {'id': '2', 'type': 1, 'count': 13, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:26,257 {'id': '2', 'type': 1, 'count': 14, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:27,974 {'id': '2', 'type': 1, 'count': 0, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:28,736 {'id': '2', 'type': 1, 'count': 1, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:29,485 {'id': '2', 'type': 1, 'count': 2, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:30,235 {'id': '2', 'type': 1, 'count': 3, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:31,000 {'id': '2', 'type': 1, 'count': 4, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:31,749 {'id': '2', 'type': 1, 'count': 5, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:32,498 {'id': '2', 'type': 1, 'count': 6, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:33,238 {'id': '2', 'type': 1, 'count': 7, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:35,002 {'id': '2', 'type': 1, 'count': 8, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:36,755 {'id': '2', 'type': 1, 'count': 9, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:37,512 {'id': '2', 'type': 1, 'count': 10, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:50,116 {'id': '2', 'type': 1, 'count': 0, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:50,153 {'id': '2', 'type': 1, 'count': 1, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:50,188 {'id': '2', 'type': 1, 'count': 2, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:50,222 {'id': '2', 'type': 1, 'count': 3, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:50,955 {'id': '2', 'type': 1, 'count': 4, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:51,698 {'id': '2', 'type': 1, 'count': 5, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:52,448 {'id': '2', 'type': 1, 'count': 6, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:53,201 {'id': '2', 'type': 1, 'count': 7, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:53,959 {'id': '2', 'type': 1, 'count': 8, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:54,710 {'id': '2', 'type': 1, 'count': 9, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:55,459 {'id': '2', 'type': 1, 'count': 10, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
2021-04-17 17:05:56,210 {'id': '2', 'type': 1, 'count': 11, 'lat': 53.28399, 'lng': -9.302038, 'high': 10.2}
